,casa_pens,cice_plaf,csg_ij_ded,fam_a_p_0_1,cnracl_s_ti,mmid_p_0_,auto_av_ca,fnal_p_0_1,css_i65_s_0_1,agff_p_0_1,mmid_plib_0_,retc_art_0_4,mmid_plib_pens_0_4,mmid_plib_pens_0_5,cnracl_p,css_j_am_i65_s_0_1,cnav_s_0_,prev_p,mmid_a_p_0_,ircantec_s_1_4_75,tx,form_p20_p_0_,retc_ass_eff_0_,forf_soc_tx2,cont_opt_s_tx2,form_m10_p_0_,taxsal1,acc_p_0_,fam_m_p_0_1,veuv_p_0_,cnav_s_0_1,mmid_a_p_0_1,vt_toulouse,mmid_j_am_i65_s_0_1,vt_lyon,deces_p_0_1,csg_pens,retc_ass_contr_0_,chom_s_1_4,asf_s_0_1,fam_inde_0_1,vf1,retpens_pu_s,ret_m_s_s65_0_1,tehr_seuil,mmid_j_am_s65_s_0_1,fds_seuil,mmid_e_p_0_1,mmid_ac_0_,ret_plib_85_5,css_p_0_1,rafp_s,rafp_p,retc_not_u_0_,mmid_m_p_0_,atiacl_p,taxsal_plaf1,feh_p,ret_plib_0_5,ind_maj_ref,mmid_h_s_0_,am_pens,css_m_am_i65_s_0_1,mmid_ac_0_5,mmid_ac_0_4,forf_soc_tx1,cont_opt_p_tx1,mmid_ret_comp,mmid_a_s65_s_0_1,arrco_ap97_p_1_3,vf_maj1,ircantec_s_1_8,congform_p10_p_0_,mmid_s_0_1,mmid_j_i65_s_0_1,mmid_e_p_0_,fam_p_0_1,vt_beb,arrco_p_1_3,abat_m,arrco_ap97_s_1_3,apec_s_1_4,fccpa_p,mmid_a_am_i65_s_0_1,abat_j,txexp_civ_p,agff_s_1_4,css_s65_s_0_1,abat_a,agff_p_1_3,agff_s_1_3,deces_ic_0_1,fam_inde_0_10000,asf_p_0_1,mmid_h_s_0_1,cont_opt_p_tx2,vf_pens,vt_p_0_,mmid_h_p_0_1,taxsal_maj2,css_j_p_0_1,vt_95,vt_94,vt_93,vt_92,vt_91,csg_act,asv_aux_0_5,css_m_p_0_1,asv_bio_0_5,apec_s_f,dif_p10_p_0_,arrco_s_0_1,retc_art_0_3,ircantec_s_0_1_theo,altern_p10_p_0,gmp_cot_f_m_s,chom_s_0_1,auto_art_form_ca,txexp_mil_p,apec_p_1_4,fds_s_0_4,mmid_ac_ret_0_4,acc_m_p_0_1,ircantec_assiette,mmid_ac_ret_0_1,mmid_red65_s_0_1,mmid_ac_ret_0_5,csg_act_ded,agff_s_0_1,css_m_s65_s_0_1,apec_p_f,ircantec_p_1_4_75,exo1_3,txexp_ati_p,csg_cho,crds,mmid_m_p_0_1,acc_pq_p_0_1,csg_abt_0_4,veuv_s_0_,cice_tx,mmid_plib_0_4,inval_ic_0_1,asv_med_0_5,csg_pre_ded,mmid_ac_ret_0_,ret_ic_0_1,taxsal_guy,ircantec_p_1_4ou8_75_theo,chom_p_0_1,apprencsa_p_0_,agirc81_p_1_4,cons_p20_0_,mmid_plib_pens_0_,mmid_j_s_0_,gmp_sal_char,css_m_am_s65_s_0_1,apec_s_0_4,ret_a_s_0_1,auto_art_form_als_ca,mmid_plib_0_1,arrco_s_1_3,mmid_m_s65_s_0_1,arrco_p_0_1,css_a_am_s65_s_0_1,apprencda_p_0_,pt_ind,invald_ass_0_,acc_a_p_0_1,ircantec_p_0_1_theo,agirc81_s_1_4,agirc_p_4_8,appren_am_p_0_,form_ic_0_1,retc_art_1_4,mmid_plib_0_5,asf_p_1_4,vt_marseille,id_ic_0_1,csg_abt_4_,cnav_p_0_1,form_1020_p_0_,mmid_e_s_0_1,gmp_cot_f_a,mmid_m_i65_s_0_1,mmid_p_0_1,ret_plib_0_85,fam_inde_0_,csg_pens_ded,gmp_cot_f_m,ircantec_s_0_1,apprensup_p_0_,css_j_am_s65_s_0_1,vf_plaf2,casa_seuil,vf_plaf1,mmid_h_p_0_,tx_max,agirc81_s_4_8,am_s_0_1,mmid_e_s_0_,form_art_0_1,appren_p_0_,mmid_a_i65_s_0_1,retc_not_a_0_,mmid_j_p_0_,apec_p_0_4,mmid_ret,id_art_0_1,retc_rci_1_4plaf,csg_pre_red,tx1,css_a_am_i65_s_0_1,agirc81_p_4_8,acc_p_0_1,csg_ij,cet_p_0_8,vt_p_0_1,cont_opt_s_tx1,ij_ac_0_5,mmid_j_p_0_1,acc_pq_am_p_0_1,csa_p_0_,css_a_p_0_1,retc_aux_0_,gmp_cot_f_m_p,cnav_remise_forf,agirc_p_1_4,cons_p10_0_,retc_not_cm_0_,am_s_0_,form_plib_0_1,css_j_i65_s_0_1,acc_pp_am_p_0_1,ret_m_s_0_1,taxsal_maj3,tehr_tx,vf_maj2,ret_j_p_0_1,mmid_a_am_s65_s_0_1,css_a_s65_s_0_1,agirc_s_4_8,fam_inde_10000_1,cnav_p_0_,retchap_tx1,mmid_a_s_0_,retc_ic_0_3,veuv_s_0_1,mmid_j_s65_s_0_1,retchap_maj,retchap_tx3,retchap_tx2,vt_75,agff_p_1_4,fnal_p20_1_,retc_art_0_1,fam_j_p_0_1,exo1_1,exo1_2,cnracl_s_nbi,retc_med_0_35,mmid_m_s_0_,taxsal_mgr,fnal_p20_0_1,css_a_i65_s_0_1,auto_plib_ca,mmid_ac_0_1,ircantec_s_1_4ou8_75_theo,taxsal_plaf3,css_j_s65_s_0_1,cet_s_0_8,ret_j_s_0_1,am_cho,ret_a_p_0_1,altern_m10_p_0_,ircantec_p_1_8,ags_p_0_4,mmid_m_am_s65_s_0_1,plaf_retc_rci,asf_s_1_4,acc_pp_p_0_1,taxsal_maj1,auto_ser_ca,css_m_i65_s_0_1,taxsal_plaf2,csg_pre,ret_m_p_0_1,id_ic_forfait,formcdd_p_0_,pss_a,date,pss_m,mmid_s_0_,plaf,chom_p_1_4,auto_plib_form_ca,mmid_m_am_i65_s_0_1,csg_pens_red,csg_cho_ded,tehr_plaf,ircantec_p_0_1,tximp_pu_p,ret_art_0_1,fam_p_0_,auto_com_form_ca,mmid_plib_pens_0_1,agirc_s_1_4,retc_rci_0_1plaf,retc_chird_85_5
1925-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
